Date,Close,High,Low,Open,Volume,MA5,MA10,MA50,EMA12,EMA26,Daily_Return,Volatility,RSI,MACD,Signal_Line,SMA20,Upper_Band,Lower_Band,Bollinger_Width,Volume_MA10,Momentum,Close_lag1,Volume_lag1,Close_lag2,Volume_lag2,Close_lag3,Volume_lag3,Target
2020-03-13,67.45748138427734,67.93070839286551,61.38565181622262,64.28324334840872,370732000,65.67574081420898,68.58012351989746,74.12297889709473,68.3065604103967,70.96319560409182,0.11980810570878431,0.05389866869492704,45.068550863542505,-2.6566351936951236,-2.033361337479495,71.01601276397705,81.01930096028374,61.012724567670354,20.00657639261339,291064040.0,-0.03826611802353597,60.24021530151367,418474000.0,66.84107971191406,255598800.0,69.24604797363281,285290000.0,0
2020-03-16,58.77928924560547,62.87327957704444,58.24296696218062,58.71619032815072,322423600,64.51282272338867,67.2065601348877,73.84424324035645,66.84082638504421,70.06068402198173,-0.12864684480637234,0.060145163807406844,40.05290791748039,-3.219857636937519,-2.2706605973711,70.01205043792724,80.70770482732719,59.31639604852729,21.391308778799903,289166680.0,-0.09001766856447135,67.45748138427734,370732000.0,60.24021530151367,418474000.0,66.84107971191406,255598800.0,1
2020-03-17,61.36381530761719,62.516536915107906,57.854675154192996,60.06548110830406,324056000,62.93637619018555,66.32175102233887,73.63133689880371,65.99820929620928,69.4164715246214,0.04397001214513563,0.061340968548907,41.59306501610504,-3.418262228412118,-2.500180923579304,69.20951099395752,79.97493944326574,58.4440825446493,21.53085689861644,289624720.0,-0.11382935050700638,58.77928924560547,322423600.0,67.45748138427734,370732000.0,60.24021530151367,418474000.0,0
2020-03-18,59.86163330078125,60.66975488014331,57.54404792376218,58.18714954728448,300233600,61.540486907958986,64.96105003356934,73.37691139221191,65.05412068152805,68.70870573026288,-0.024479931687843903,0.06139712612026249,43.998923811987794,-3.6545850487348304,-2.7310617486104096,68.27580318450927,78.87337765753364,57.67822871148491,21.195148946048725,297730240.0,-0.10441851689431592,61.36381530761719,324056000.0,58.77928924560547,322423600.0,67.45748138427734,370732000.0,0
2020-03-19,59.40297317504883,61.35896558109421,58.87636011980493,60.036365596883776,271857200,61.37303848266602,63.79279403686523,73.12013977050782,64.18471337283894,68.01939220765443,-0.007662004867589167,0.061138556095590504,43.66127535277542,-3.8346788348154917,-2.9517851658514265,67.35944786071778,77.68076361388837,57.038132107547185,20.64263150634119,306158680.0,-0.013898392000664117,59.86163330078125,300233600.0,61.36381530761719,324056000.0,58.77928924560547,322423600.0,0
2020-03-20,55.63174057006836,61.11385881136198,55.330817248448476,59.98539913252844,401693200,59.00789031982422,62.3418155670166,72.76470191955566,62.86887140318193,67.10178838264805,-0.06348558672084292,0.06218221486770976,33.8607025094792,-4.232916979466125,-3.2080115285743664,66.34250087738037,77.09050021714177,55.59450153761899,21.495998679522778,323710320.0,-0.17530658677934674,59.40297317504883,271857200.0,59.86163330078125,300233600.0,61.36381530761719,324056000.0,0
2020-03-23,54.44989013671875,55.45215566699075,51.59598621533572,55.35023092369006,336752800,58.14201049804687,61.327416610717776,72.35444389343262,61.57364351603375,66.16461073480144,-0.02124417502021292,0.062173254074998796,34.602416976611906,-4.590967218767695,-3.484602666613032,65.44689350128174,77.0352242226363,53.85856277992717,23.176661442709133,328711120.0,-0.07365517964663715,55.63174057006836,401693200.0,59.40297317504883,271857200.0,59.86163330078125,300233600.0,1
2020-03-24,59.91259765625,60.10916707001685,56.85969513959366,57.359613328429845,287531200,57.851766967773436,60.39407157897949,72.05005043029786,61.31809799914394,65.70149865490875,0.10032540939595802,0.0664025636483702,37.30454898095172,-4.3834006557648095,-3.6643622644433878,64.9469747543335,76.58698511409573,53.30696439457127,23.280020719524458,328935240.0,-0.023649403872497587,54.44989013671875,336752800.0,55.63174057006836,401693200.0,59.40297317504883,271857200.0,0
2020-03-25,59.582550048828125,62.67185273031452,59.286481367958,60.85176020184459,303602000,57.79595031738281,59.6682186126709,71.70695320129394,61.05109062217227,65.24824320260647,-0.00550881818404092,0.06611334808903081,38.79644730658901,-4.1971525804342065,-3.770920327641552,64.37510166168212,75.88190734698625,52.86829597637799,23.01361137060826,333735560.0,-0.0046621389455052675,59.91259765625,287531200.0,54.44989013671875,336752800.0,55.63174057006836,401693200.0,1
2020-03-26,62.717952728271484,62.77619331035084,59.7863903670256,59.825219890403275,252087200,58.458946228027344,59.91599235534668,71.44728805541992,61.307530946187526,65.06081427858166,0.05262283465333195,0.06718527456861752,43.06567381954735,-3.7532833323941333,-3.767392928592068,64.19212112426757,75.68122711168384,52.703015136851306,22.978211974832533,317096880.0,0.05580494335618624,59.582550048828125,303602000.0,59.91259765625,287531200.0,54.44989013671875,336752800.0,0
