,Date,Close,High,Low,Open,Volume
0,2020-01-02,72.71607208251953,72.77659819422657,71.46681225027338,71.72101896406637,135480400
1,2020-01-03,72.0091323852539,72.77176000550182,71.78397699623217,71.9413434276417,146322800
2,2020-01-06,72.5829086303711,72.62164622763687,70.87607527260708,71.12786596061405,118387200
3,2020-01-07,72.2415542602539,72.84923143823697,72.02123831231323,72.59260129853506,108872000
4,2020-01-08,73.40363311767578,73.70626361557562,71.94374389134458,71.94374389134458,132079200
5,2020-01-09,74.9627914428711,75.15647202012606,74.13237506994084,74.38415834268419,170108400
6,2020-01-10,75.13227081298828,75.69880172853615,74.62869680726308,75.19764374317383,140644800
7,2020-01-13,76.73741149902344,76.76404682603398,75.3307854721379,75.44942165682815,121532000
8,2020-01-14,75.70121002197266,76.88510420958616,75.57774178905865,76.6744745414686,161954400
9,2020-01-15,75.37679290771484,76.38394823058523,74.94342390604251,75.5002685322302,121923600
10,2020-01-16,76.32099151611328,76.43236486391163,75.55836410557868,75.92152071901803,108829200
11,2020-01-17,77.16593170166016,77.16834772132155,76.26287970437025,76.57034960714971,137816400
12,2020-01-21,76.64299774169922,77.23614913553814,76.5049964495613,76.79310129941813,110843200
13,2020-01-22,76.91658782958984,77.47100170840719,76.82216354627624,77.12963354237134,101832400
14,2020-01-23,77.28699493408203,77.3668861399878,76.42025699227077,76.96983874202517,104472000
15,2020-01-24,77.06427001953125,78.27963174807223,76.8730054274966,77.5339532626897,146537600
16,2020-01-27,74.79817199707031,75.48090092368226,73.81280512269632,75.06690438729518,161940000
17,2020-01-28,76.91414642333984,77.08603847633346,75.58257224071698,75.68183593003438,162234000
18,2020-01-29,78.5241470336914,79.37393591584485,77.80752001617462,78.55078236199498,216229200
19,2020-01-30,78.41035461425781,78.46361788035526,77.1707812088342,77.60415017442514,126743200
20,2020-01-31,74.93373107910156,78.12224171387334,74.6383634318401,77.69855903722024,199588400
21,2020-02-03,74.72795867919922,75.89731989448796,73.16880546652003,73.67237945985059,173788400
22,2020-02-04,77.19500732421875,77.3862719133486,75.93122176752728,76.33795548064964,136616400
23,2020-02-05,77.82447814941406,78.62584328517734,77.21921702642419,78.32562874403418,118826800
24,2020-02-06,78.73480224609375,78.7372256553915,77.53638940614043,78.09565020914057,105425600
25,2020-02-07,77.6645736694336,78.48240085764334,77.1719355094332,78.23244174012544,117684000
26,2020-02-10,78.0334243774414,78.0334243774414,76.16480064339702,76.24488144952362,109348800
27,2020-02-11,77.56262969970703,78.60372465740163,77.3442200863521,78.53092392160836,94323200
28,2020-02-12,79.40458679199219,79.40943770675925,78.0140331926388,78.0140331926388,113730400
29,2020-02-13,78.83912658691406,79.16674472243865,78.47025716819051,78.67410664216737,94747600
30,2020-02-14,78.85853576660156,79.10849481422575,78.34890843869533,78.80756784962874,80113600
31,2020-02-18,77.41460418701172,77.5966134445047,76.34923977828454,76.5312490357775,152531200
32,2020-02-19,78.5357894897461,78.76633753940254,77.65729255269991,77.65729255269991,93984000
33,2020-02-20,77.7300796508789,78.78573476731503,77.222881436687,78.29552586031969,100566000
34,2020-02-21,75.9706802368164,77.766511287534,75.35185156797284,77.32240444012415,129554000
35,2020-02-24,72.3620376586914,73.8181119648714,70.19006459555902,72.13877707909086,222195200
36,2020-02-25,69.91097259521484,73.41768758581995,69.4377529242665,73.03425797216033,230673600
37,2020-02-26,71.02001190185547,72.28922581008212,69.52753744829661,69.53481752247102,198054800
38,2020-02-27,66.3775634765625,69.40620033933959,66.24166381662789,68.21707461192374,320605600
39,2020-02-28,66.3387451171875,67.56427882911555,62.215630206085294,62.431618127058165,426510000
40,2020-03-02,72.51492309570312,73.15317015362184,67.39682304876307,68.50343887480543,341397200
41,2020-03-03,70.21190643310547,73.77443320656704,69.35767141404621,73.69435237651876,319475600
42,2020-03-04,73.46864318847656,73.6288122283086,71.13650139150472,71.93976834476976,219178400
43,2020-03-05,71.08553314208984,72.69448862777347,70.71908549659396,71.71649259248731,187572800
44,2020-03-06,70.14152526855469,70.57592284013839,68.24863164787311,68.43549184953756,226176800
45,2020-03-09,64.59387969970703,67.48660954634035,63.82458392757783,64.00659319733327,286744800
46,2020-03-10,69.24604797363281,69.51299644350358,65.37046275999084,67.25608395618609,285290000
47,2020-03-11,66.84107971191406,68.24619329059158,65.9747138459021,67.31673591637701,255598800
48,2020-03-12,60.24021530151367,65.52333888472222,60.18440016078189,62.111272274536645,418474000
49,2020-03-13,67.45748138427734,67.93070839286551,61.38565181622262,64.28324334840872,370732000
50,2020-03-16,58.77928924560547,62.87327957704444,58.24296696218062,58.71619032815072,322423600
51,2020-03-17,61.36381530761719,62.516536915107906,57.854675154192996,60.06548110830406,324056000
52,2020-03-18,59.86163330078125,60.66975488014331,57.54404792376218,58.18714954728448,300233600
53,2020-03-19,59.40297317504883,61.35896558109421,58.87636011980493,60.036365596883776,271857200
54,2020-03-20,55.63174057006836,61.11385881136198,55.330817248448476,59.98539913252844,401693200
55,2020-03-23,54.44989013671875,55.45215566699075,51.59598621533572,55.35023092369006,336752800
