Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.71607971191406,72.77660582997152,71.46681974859514,71.7210264890596,135480400
2020-01-03,72.00911712646484,72.77174458511139,71.7839617851537,71.94132818321717,146322800
2020-01-06,72.58290100097656,72.62163859417052,70.87606782262263,71.12785848416316,118387200
2020-01-07,72.24154663085938,72.84922374466596,72.02123070618616,72.59259363206662,108872000
2020-01-08,73.40365600585938,73.70628659812324,71.9437663243162,71.9437663243162,132079200
2020-01-09,74.96279907226562,75.15647966923257,74.13238261481911,74.3841659131879,170108400
2020-01-10,75.13226318359375,75.69879404161257,74.62868922900458,75.19763610714092,140644800
2020-01-13,76.73741912841797,76.76405445807666,75.33079296168272,75.44942915816804,121532000
2020-01-14,75.70120239257812,76.88509646087522,75.57773417210761,76.67446681398555,161954400
2020-01-15,75.37681579589844,76.3839714245918,74.9434466626335,75.5002914579072,121923600
2020-01-16,76.32098388671875,76.43235722338372,75.55835655241987,75.92151312955643,108829200
2020-01-17,77.16595458984375,77.16837061022176,76.26290232469962,76.57037231867773,137816400
2020-01-21,76.64300537109375,77.23615682397768,76.50500406521856,76.79310894375465,110843200
2020-01-22,76.91657257080078,77.47098633963294,76.82214830621916,77.12961824131806,101832400
2020-01-23,77.2869873046875,77.3668785027068,76.42024944843635,76.96983114393875,104472000
2020-01-24,77.06427001953125,78.27963174807223,76.8730054274966,77.5339532626897,146537600
2020-01-27,74.79817962646484,75.48090862271498,73.81281265158368,75.06691204410036,161940000
2020-01-28,76.9141616821289,77.08605376922371,75.58258723533865,75.6818509443487,162234000
2020-01-29,78.52416229248047,79.37395133976464,77.80753513570895,78.5507976259598,216229200
2020-01-30,78.41036987304688,78.46363314950943,77.17079622640016,77.60416527632543,126743200
2020-01-31,74.93375396728516,78.1222655759737,74.63838622980492,77.69858276990855,199588400
2020-02-03,74.72797393798828,75.89733539205027,73.16882040694378,73.67239450309971,173788400
2020-02-04,77.19499969482422,77.38626426505087,75.93121426303615,76.33794793595989,136616400
2020-02-05,77.82445526123047,78.6258201613122,77.21919431624794,78.32560570846216,118826800
2020-02-06,78.73479461669922,78.73721802576215,77.53638189287197,78.0956426416798,105425600
2020-02-07,77.66455841064453,78.48238543817546,77.17192034743294,78.23242636976711,117684000
2020-02-10,78.03343200683594,78.03343200683594,76.16480809009461,76.24488890405078,109348800
2020-02-11,77.5626449584961,78.60374012100387,77.34423530217373,78.53093937088862,94323200
2020-02-12,79.40458679199219,79.40943770675925,78.0140331926388,78.0140331926388,113730400
2020-02-13,78.83912658691406,79.16674472243865,78.47025716819051,78.67410664216737,94747600
2020-02-14,78.85855102539062,79.10851012138082,78.34892359887368,78.80758309855572,80113600
2020-02-18,77.41461944580078,77.59662873916865,76.34925482708518,76.53126412045305,152531200
2020-02-19,78.5357894897461,78.76633753940254,77.65729255269991,77.65729255269991,93984000
2020-02-20,77.73007202148438,78.78572703430541,77.22287385707519,78.29551817542524,100566000
2020-02-21,75.97065734863281,77.76648785830864,75.35182886622782,77.32238114469776,129554000
2020-02-24,72.3620376586914,73.8181119648714,70.19006459555902,72.13877707909086,222195200
2020-02-25,69.91095733642578,73.41767156165426,69.4377377687625,73.03424203168211,230673600
2020-02-26,71.02001953125,72.28923357582319,69.5275449173606,69.53482499231708,198054800
2020-02-27,66.37757873535156,69.40621629434781,66.24167904417651,68.21709029357726,320605600
2020-02-28,66.33872985839844,67.56426328843753,62.21561589566721,62.43160376696,426510000
2020-03-02,72.51490783691406,73.15315476053108,67.39680886693866,68.50342446012388,341397200
2020-03-03,70.21189880371094,73.77442519005979,69.3576638774749,73.69434436871329,319475600
2020-03-04,73.46865844726562,73.62882752036336,71.13651616592851,71.939783286025,219178400
2020-03-05,71.08554077148438,72.69449642985231,70.71909308665877,71.71650028960082,187572800
2020-03-06,70.14151763916016,70.5759151634938,68.24862422437134,68.43548440571074,226176800
2020-03-09,64.59388732910156,67.48661751740467,63.824591466108316,64.00660075736148,286744800
2020-03-10,69.24603271484375,69.5129811258908,65.37044835521063,67.25606913589775,285290000
2020-03-11,66.84107971191406,68.24619329059158,65.9747138459021,67.31673591637701,255598800
2020-03-12,60.2402229309082,65.52334718322183,60.18440778310747,62.11128014089965,418474000
2020-03-13,67.45748901367188,67.93071607578169,61.38565875889742,64.28325061879912,370732000
2020-03-16,58.7792854309082,62.873275496652674,58.242963182289955,58.716186517548486,322423600
2020-03-17,61.36381530761719,62.516536915107906,57.854675154192996,60.06548110830406,324056000
2020-03-18,59.861637115478516,60.66975874633833,57.54405159077075,58.187153255274865,300233600
2020-03-19,59.40296936035156,61.35896164078844,58.876356338925326,60.036361741511776,271857200
2020-03-20,55.63174057006836,61.11385881136198,55.330817248448476,59.98539913252844,401693200
2020-03-23,54.44988250732422,55.45214789716105,51.595978985823706,55.35022316814183,336752800
2020-03-24,59.912601470947266,60.109170897229895,56.859698759909456,57.35961698057595,287531200
2020-03-25,59.58255386352539,62.67185674280047,59.286485163699844,60.85176409780143,303602000
2020-03-26,62.71794891357422,62.77618949211121,59.7863867306349,59.82521625165086,252087200
2020-03-27,60.121299743652344,62.094277592448684,59.9538506329564,61.337120260245676,204216800
2020-03-30,61.83704376220703,62.0093475048291,60.52414930589501,60.849342024154396,167976400
2020-03-31,61.71084976196289,63.700817094858024,61.15511640489983,62.0287624061651,197002000
2020-04-01,58.463809967041016,60.3591327272743,58.031841560613465,59.82038494793416,176218400
2020-04-02,59.439369201660156,59.49275888105111,57.49065701285396,58.32547341461665,165934000
2020-04-03,58.58514404296875,59.62623542608821,57.99300663222972,58.92246773803886,129880000
2020-04-06,63.69597625732422,63.85128701213313,60.51930809689075,60.888177619792245,201820400
2020-04-07,62.958229064941406,65.93590598005878,62.85387884275289,65.71748889327498,202887200
2020-04-08,64.56961059570312,64.88509036892265,63.395044991841544,63.76148528714011,168895200
2020-04-09,65.0355453491211,65.54032183594127,64.23713674062121,65.20785277807086,161834800
2020-04-13,66.31204986572266,66.42125839971293,64.51136807094039,65.11321477612952,131022800
2020-04-14,69.66101837158203,69.95223619410436,67.47690692059525,67.9501340306998,194994800
2020-04-15,69.02520751953125,69.48629628080043,68.1030299969929,68.53256929355807,131154400
2020-04-16,69.57366943359375,69.94011723219309,68.52044306370273,69.74111859944523,157125200
2020-04-17,68.62963104248047,69.63675500516926,67.1881169210457,69.08829799292641,215250000
2020-04-20,67.20509338378906,68.35781862849281,67.18568232250739,67.45263070247596,130015200
2020-04-21,65.12775421142578,67.28274465717786,64.4142774447653,67.04734575925282,180991600
2020-04-22,67.0036849975586,67.4405043108994,66.05723821466911,66.39940914673265,116862400
2020-04-23,66.7439956665039,68.3747986128888,66.7051661432597,66.94784510905522,124814400
2020-04-24,68.6708755493164,68.68058478279482,67.22208165212722,67.27062041354411,126161200
2020-04-27,68.71940612792969,69.05187512671834,67.93797956040792,68.38692972316672,117087600
2020-04-28,67.60551452636719,69.3649373275059,67.51330272470628,69.18292807221569,112004800
2020-04-29,69.8260498046875,70.29684778168853,68.89416308692655,69.0980126121264,137280800
2020-04-30,71.29910278320312,71.47626115798072,69.976506388418,70.36721610873765,183064000
2020-05-01,70.1512222290039,72.56102298757865,69.3697955313602,69.46686565282405,240616800
2020-05-04,71.14378356933594,71.27240315582554,69.48385993378157,70.17549663342325,133568000
2020-05-05,72.21156311035156,73.04637946818022,71.4592567243347,71.60486560646302,147751200
2020-05-06,72.95658111572266,73.58996968279646,72.5294637517046,72.91532243152679,142333600
2020-05-07,73.7113265991211,74.05836324243135,73.28178737986006,73.58513616899319,115215200
2020-05-08,75.46578216552734,75.51931637355732,74.04470105585122,74.3732060857613,133838400
2020-05-11,76.65325927734375,77.14965926401848,74.7625342106639,74.97180698726206,145946400
2020-05-12,75.77725219726562,77.79207364909227,75.65558421726155,77.33946490194451,162301200
2020-05-13,74.86228942871094,76.88198188882791,73.78187742017185,75.95730099741765,200622400
2020-05-14,75.32220458984375,75.38303857132479,73.373081446864,74.09822517948626,158929200
2020-05-15,74.87689208984375,74.92312650763014,73.05187273308422,73.085943325568,166348400
2020-05-18,76.6410903930664,77.01582984347145,75.51201542213853,76.20552437986748,135178400
2020-05-19,76.19822692871094,77.50736817025115,76.16659206539425,76.65812803670754,101729600
2020-05-20,77.68013763427734,77.75069971271533,77.02069186607584,77.05962650901947,111504800
2020-05-21,77.10099792480469,78.08407725078851,76.86252601832638,77.54143540411926,102688800
2020-05-22,77.597412109375,77.68014544919457,76.73600068439247,76.83819763463005,81803200
2020-05-26,77.07178497314453,78.89923259629772,77.01581504082098,78.71916640033362,125522000
2020-05-27,77.4075927734375,77.55359582351838,76.1860490206754,76.92822809774341,112945200
2020-05-28,77.44168853759766,78.70460307829444,76.80414935194091,77.08154855382563,133560800
2020-05-29,77.3662338256836,78.14734015890691,77.00852967618476,77.68500333141107,153532400
2020-06-01,78.31768798828125,78.43935598036309,77.18860545726987,77.32000896800524,80791200
2020-06-02,78.68025207519531,78.70458715753213,77.60713955055513,78.05001280060178,87642800
2020-06-03,79.11337280273438,79.37617975384588,78.42716372886015,79.00144035927285,104491200
2020-06-04,78.43204498291016,79.23505064541881,78.05730554159499,78.93575218035002,87560400
2020-06-05,80.66586303710938,80.72669702130025,78.65347751344345,78.68267663769132,137250400
2020-06-08,81.1427993774414,81.17686997307266,79.64872058754821,80.36169309987528,95654400
2020-06-09,83.70512390136719,84.09932691847067,80.78996422247816,80.82159908143493,147712400
2020-06-10,85.85865020751953,86.32828677869298,84.2161326502249,84.65657009743241,166651600
